sentiment,skin_type_mentioned,key_benefit,complaint,customer_representative_reply,dark_spot_effect
Negatif,dryskin,Harganya terjangkau,Vit C tidak terlalu nampak hasilnya dan bikin agak cekat cekit di wajah,"Terima kasih atas review Anda tentang produk sunscreen kami. Kami sangat menyesal mendengar bahwa produk kami tidak memberikan hasil yang diharapkan pada kulit Anda, terutama dengan masalah cekat cekit. Kami ingin memahami lebih lanjut tentang pengalaman Anda. Silakan hubungi kami langsung agar kami dapat membantu Anda dengan lebih baik. Kami juga akan mempertimbangkan umpan balik Anda untuk perbaikan produk di masa depan.",
Positif,,Mencerahkan wajah dan harga terjangkau,,"Terima kasih atas review positifnya! Kami senang mendengar bahwa produk Azarine, termasuk sunscreen, telah membantu mencerahkan wajah Anda. Kami akan terus berusaha memberikan produk berkualitas dengan harga yang terjangkau. Jangan lupa untuk memantau akun kami untuk flash sale dan promo menarik lainnya!",
Negatif,sensitif,tidak mengalami iritasi,"wangi parfum terlalu kuat, tidak ada hasil mencerahkan atau memudarkan, kulit tetap kusam","Terima kasih atas ulasan Anda tentang produk sunscreen kami. Kami sorry bahwa wangi parfum produk kami terlalu kuat untuk Anda dan tidak memberikan hasil yang diharapkan. Kami akan mempertimbangkan ulasan Anda untuk perbaikan produk di masa depan. Jika Anda memiliki kulit sensitif, kami menyarankan untuk melakukan tes patch sebelum menggunakan produk kami. Kami berharap Anda akan memberi kami kesempatan lain untuk membantu Anda menemukan produk yang tepat.",
Positif,,"Membuat kulit lebih cerah, lembap, dan fresh tanpa lengket",,"Terima kasih atas review positif Anda! Kami sangat senang mendengar bahwa Azarine C White Lightening Serum telah membantu membuat kulit Anda terlihat lebih cerah dan sehat. Kami berharap Anda terus menggunakan produk kami dan merasakan manfaatnya. Jika Anda memiliki pertanyaan atau membutuhkan rekomendasi, jangan ragu untuk menghubungi kami.",
Netral,"Kulit normal hingga kombinasi, kulit sensitif","Mencerahkan dan menyamarkan noda hitam, tekstur gel ringan, cepat meresap, dan harga terjangkau",Dapat menyebabkan kulit kering dan munculnya jerawat baru jika digunakan terlalu sering,"Terima kasih atas review Anda tentang produk serum Vitamin C dan Niacinamide kami. Kami senang mendengar bahwa produk kami dapat mencerahkan dan menyamarkan noda hitam pada kulit Anda. Namun, kami juga memahami bahwa beberapa pengguna mungkin mengalami efek samping seperti kulit kering dan jerawat baru. Kami sarankan menggunakan produk ini dengan bijak dan tidak berlebihan, serta melakukan patch test sebelum menggunakan pada area yang lebih luas. Jika Anda memiliki kulit sensitif, sebaiknya konsultasikan dengan dokter atau ahli kulit sebelum menggunakan produk kami. Kami berkomitmen untuk menyediakan produk yang aman dan efektif bagi semua pelanggan kami.",
Negatif,N/A,"Cerah, fragrance","After pemakaian lengket, bangun tidur malah kusem","Terima kasih atas review Anda. Kami sangat menghargai kesediaan Anda untuk mencoba produk kami. Kami tidak senang mendengar bahwa produk kami tidak memenuhi harapan Anda. Kami akan menggunakan feedback Anda untuk meningkatkan kualitas produk kami. Jika Anda memiliki kekhawatiran tentang efek sampingan produk kami, silakan hubungi kami untuk bantuan lebih lanjut.",
Positif,N/A,Membuat kulit terlihat lebih cerah dan merata,None,Terima kasih sudah mencoba Azarine - Lightening Serum C White! Kami senang mendengar bahwa produk kami telah membantu Anda mencapai kulit yang lebih cerah dan merata. Kami akan terus berusaha untuk menyediakan produk yang berkualitas dan original. Saya juga ingin mengucapkan terima kasih atas rekomendasi yang Anda berikan!,
Positif,N/A,Menonjolkan efek whitening pada kulit dan melindungi kulit dari sinar matahari,Produk sudah tidak tersedia lagi,"Terima kasih telah memulai perjalanan dengan produk kami! Kami sayang bahwa Anda tidak dapat menemukan produk ini lagi, tetapi kami senang Anda menikmati manfaatnya. Jika Anda memiliki penawaran produk lain yang cocok untuk Anda, jangan ragu untuk menghubungi kami!",
Positif,Beruntus,Membantu memudarkan bekas jerawat dan meningkatkan tekstur kulit,None,"Terima kasih atas ulasan Anda! Kami senang untuk mengetahui bahwa produk Sunscreen Kami membantu membuat kulit Anda lebih mending dan lembut. Kami juga senang untuk mengetahui bahwa Anda dapat menemukan produk kami dengan mudah di toko kosmetik terdekat. Jika Anda memiliki pertanyaan atau saran, jangan sungkan untuk menghubungi kami. Teruslah menikmati kelebihan produk kami!",
Positif,berminyak,"Membuat kulit menjadi bersih, flawless, dan terasa seger",None,"Terima kasih sudah memilih produk kami, Azarine! Kami senang Anda merasakan kelebihan produk kami. Dengan skincare yang tepat, kulit yang sehat dan bersih tentu akan membuat Anda terasa lebih percaya diri. Kami akan kontinyu berusaha untuk meningkatkan kualitas produk kami. Terima kasih atas kepercayaan Anda.",
